username,Source_Manga,Source_Light_Novel,Source_Original,Source_Manhwa,Source_Other,Genre_Action,Genre_Adventure,Genre_Comedy,Genre_Drama,Genre_Fantasy,Genre_Sci-Fi,Genre_Slice_of_Life,Genre_Romance,Genre_Supernatural,Genre_Suspense,Genre_Sports
danieros,0.4551386623164764,0.6048939641109299,0.17944535073409465,0.05872756933115824,0.013050570962479609,0.6525285481239804,0.31484502446982054,0.1761827079934747,0.3523654159869494,0.4290375203915171,0.13213703099510604,0.0,0.2561174551386623,0.19738988580750408,0.21044045676998369,0.0
mikeneko,0.5993485342019544,0.2726384364820847,0.23110749185667753,0.05211726384364821,0.010423452768729642,0.30130293159609123,0.21661237785016288,0.25732899022801303,0.4527687296416938,0.24267100977198697,0.1482084690553746,0.016286644951140065,0.19543973941368079,0.18241042345276873,0.26384364820846906,0.013029315960912053
thalitamassae,0.623121387283237,0.30589595375722545,0.12843930635838152,0.016184971098265895,0.06566473988439307,0.24739884393063583,0.2543352601156069,0.4913294797687861,0.27398843930635836,0.2468208092485549,0.1352601156069364,0.017341040462427744,0.3791907514450867,0.13815028901734103,0.06127167630057803,0.014450867052023121
ichigofujiwara,0.425207756232687,0.4063711911357341,0.22243767313019394,0.024930747922437674,0.10747922437673131,0.24653739612188366,0.08725761772853186,0.2673130193905817,0.3476454293628809,0.23268698060941828,0.11080332409972299,0.03462603878116344,0.22714681440443213,0.1925207756232687,0.08033240997229917,0.0221606648199446
_blake_,0.42359249329758714,0.5099195710455764,0.2138069705093834,0.01519213583556747,0.07292225201072387,0.29445933869526364,0.20420017873100982,0.2457551385165326,0.3865058087578195,0.27301161751563896,0.15951742627345844,0.04870420017873101,0.35344057193923145,0.19258266309204647,0.09919571045576407,0.007596067917783735
biotmessiah,0.6445182724252492,0.22126245847176082,0.12059800664451828,0.132890365448505,0.0451827242524917,0.813953488372093,0.6013289036544851,0.18604651162790697,0.2026578073089701,0.4584717607973422,0.09634551495016612,0.0,0.023255813953488372,0.17940199335548174,0.12956810631229235,0.0
Pop-chi,0.6178343949044586,0.5732484076433121,0.07006369426751592,0.0,0.0,0.43312101910828027,0.3184713375796178,0.36942675159235666,0.5668789808917197,0.37579617834394907,0.1910828025477707,0.0,0.5031847133757962,0.12101910828025478,0.12738853503184713,0.0
aranha96,0.5236463331048663,0.39972583961617547,0.15229609321453053,0.03015764222069911,0.080603152844414,0.5771076079506511,0.29609321453050036,0.4434544208361892,0.12200137080191913,0.31802604523646333,0.1549006168608636,0.0,0.2145305003427005,0.20150788211103496,0.06237148732008225,0.04592186429061001
Gabirushis,0.620215897939156,0.3426889106967615,0.1489695780176644,0.05691854759568204,0.02041216879293425,0.3169774288518155,0.1678115799803729,0.3434739941118744,0.1678115799803729,0.2561334641805692,0.02453385672227674,0.09028459273797841,0.27968596663395484,0.20314033366045142,0.019627085377821395,0.05593719332679097
melladric,0.3715415019762846,0.8679841897233201,0.16086956521739132,0.0,0.0,0.41106719367588934,0.35177865612648224,0.22529644268774704,0.4624505928853755,0.308300395256917,0.17391304347826086,0.0,0.31225296442687744,0.2766798418972332,0.039525691699604744,0.0
xbiaahx,0.49534883720930234,0.2658139534883721,0.2532558139534884,0.06976744186046512,0.07348837209302327,0.5116279069767442,0.28837209302325584,0.3209302325581395,0.25465116279069766,0.29069767441860467,0.19069767441860466,0.0,0.23953488372093024,0.19883720930232557,0.08604651162790698,0.05
Rex_Hirsch,0.330188679245283,0.7471698113207547,0.23176100628930818,0.0880503144654088,0.0,0.35691823899371067,0.1949685534591195,0.25157232704402516,0.32075471698113206,0.3584905660377358,0.15566037735849056,0.02830188679245283,0.2389937106918239,0.2028301886792453,0.14779874213836477,0.0
vhansd,0.44150943396226416,0.5015094339622641,0.25528301886792454,0.0389937106918239,0.022641509433962263,0.35974842767295595,0.1610062893081761,0.40125786163522015,0.2490566037735849,0.22767295597484277,0.14779874213836477,0.011949685534591196,0.2811320754716981,0.13459119496855346,0.12955974842767295,0.02830188679245283
Nina-shi,0.6829268292682927,0.5707317073170732,0.0,0.0,0.0,0.12195121951219512,0.14634146341463414,0.34959349593495936,0.13821138211382114,0.06504065040650407,0.06504065040650407,0.0,0.5528455284552846,0.06504065040650407,0.17886178861788618,0.0
BadRat,0.22937625754527163,0.7460764587525152,0.30764587525150905,0.06438631790744467,0.03541247484909457,0.12474849094567404,0.2112676056338028,0.4949698189134809,0.47283702213279677,0.2112676056338028,0.1529175050301811,0.01609657947686117,0.3682092555331992,0.11468812877263582,0.16700201207243462,0.0
Larysama,0.6799440950384347,0.1949685534591195,0.1429769392033543,0.06708595387840671,0.03857442348008386,0.4591194968553459,0.13137665967854648,0.2941998602375961,0.21663172606568834,0.19007686932215234,0.1719077568134172,0.03284416491963662,0.08315863032844165,0.18798043326345212,0.07686932215234102,0.1320754716981132
Ulla,0.49388280746941404,0.5354797166773986,0.1671603348358017,0.0412105602060528,0.028847392144236962,0.37540244687701224,0.25692208628461044,0.14359304571796522,0.25692208628461044,0.3567289117836446,0.16419832582099164,0.05280103026400515,0.07276239536381197,0.0798454603992273,0.15389568576947843,0.0103026400515132
deLaurent,0.45527156549520764,0.6325878594249201,0.17571884984025563,0.0,0.0268370607028754,0.4440894568690096,0.2763578274760383,0.2539936102236422,0.2971246006389776,0.3402555910543131,0.13738019169329074,0.0,0.2747603833865815,0.16134185303514376,0.2364217252396166,0.0
PriihHinna,0.5548172757475083,0.28704318936877077,0.259468438538206,0.0,0.03986710963455149,0.3588039867109635,0.4152823920265781,0.42857142857142855,0.292358803986711,0.4152823920265781,0.1893687707641196,0.0,0.5813953488372093,0.16943521594684385,0.0664451827242525,0.0
nick_on,0.5867246147767681,0.43666534966416437,0.14646384828131176,0.015804030027657054,0.023706045041485577,0.23468984591070724,0.1307783484788621,0.36823389964440933,0.29948636902410114,0.1726590280521533,0.07388384037929673,0.10825760568945081,0.3769261161596207,0.20347688660608454,0.03200316080600553,0.0300276570525484
alienghosts,0.5729349736379613,0.23093145869947276,0.2609841827768014,0.0,0.0492091388400703,0.11775043936731107,0.27240773286467485,0.24428822495606328,0.4147627416520211,0.22319859402460457,0.1335676625659051,0.1335676625659051,0.37258347978910367,0.2460456942003515,0.14762741652021089,0.028119507908611598
Higurashi-Z,0.4838420107719928,0.6398563734290844,0.11651705565529624,0.01436265709156194,0.038061041292639146,0.3725314183123878,0.1947935368043088,0.41831238779174146,0.15798922800718132,0.23070017953321365,0.14542190305206462,0.02872531418312388,0.2764811490125673,0.18312387791741472,0.08976660682226212,0.09245960502692999
jeanlucc_a,0.4975315414152496,0.3663192539769611,0.2510148107515085,0.08447613823368075,0.02281952825013714,0.36862314865606144,0.11080636313768513,0.36697750959956116,0.27153044432254525,0.13603949533735601,0.23916620954470652,0.026878771256171146,0.20899616017553482,0.15907844212835984,0.12232583653318706,0.0575973669775096
samantadib,0.8544973544973545,0.14285714285714285,0.07275132275132276,0.0,0.0,0.16666666666666666,0.06613756613756613,0.32275132275132273,0.43386243386243384,0.07142857142857142,0.06084656084656084,0.0,0.35978835978835977,0.0873015873015873,0.15079365079365079,0.12433862433862433
SunTheWukong,0.6527886881382561,0.23896307934014138,0.15208169677926162,0.05027494108405342,0.0408483896307934,0.6763550667714061,0.42812254516889237,0.21916732128829536,0.211311861743912,0.46111547525530244,0.11626080125687353,0.031421838177533384,0.061272584446190104,0.12411626080125687,0.18931657501963864,0.10054988216810684
Nekochokoreto,0.6386986301369864,0.34828767123287674,0.14126712328767124,0.0,0.031506849315068496,0.4726027397260274,0.4092465753424658,0.2722602739726027,0.2671232876712329,0.363013698630137,0.0821917808219178,0.0,0.4914383561643836,0.2756849315068493,0.030821917808219176,0.0
Meganekk-o,0.5577342047930284,0.46797385620915033,0.13260711692084243,0.04212055192447349,0.032534495279593324,0.420479302832244,0.21713870733478577,0.32461873638344224,0.26506899055918665,0.27814088598402326,0.05519244734931009,0.03413217138707335,0.22875816993464052,0.20987654320987653,0.06608569353667393,0.05954974582425563
