id,nome,generos,source
6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen","Drama, Romance",Visual novel
4059,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen","Drama, Romance",Visual novel
30383,Classroom☆Crisis,"Drama, Romance, Sci-Fi",Original
15633,Code:Breaker OVA,"Action, Comedy, Ecchi",Manga
35756,Comic Girls,Slice of Life,4-koma manga
5941,Cross Game,"Drama, Romance, Sports",Manga
15109,Cuticle Tantei Inaba (Cuticle Detective Inaba),"Comedy, Fantasy, Mystery",Manga
23383,D-Frag!*,Comedy,Manga
32370,D.Gray-man Hallow,"Action, Adventure, Fantasy",Manga
7338,Darker than Black: Kuro no Keiyakusha Gaiden,"Action, Mystery",Original
292,Dear Boys (Hoop Days),"Drama, Sports",Manga
18689,Diamond no Ace (Ace of Diamond),Sports,Manga
30230,Diamond no Ace: Second Season (Ace of Diamond: Second Season),Sports,Manga
34349,Diamond no Ace: Second Season OVA,Sports,Manga
552,Digimon Adventure (Digimon: Digital Monsters),"Action, Adventure, Comedy, Fantasy",Other
10155,Dog Days,"Action, Adventure, Fantasy",Original
11783,Dog Days',"Action, Adventure, Fantasy",Original
16385,Dog Days'',"Action, Adventure, Fantasy",Original
14837,Dragon Ball Z Movie 14: Kami to Kami,"Action, Adventure, Fantasy",Manga
15,Eyeshield 21,Sports,Manga
12049,Fairy Tail Movie 1: Houou no Miko,"Action, Adventure, Fantasy",Manga
9982,Fairy Tail OVA,"Comedy, Fantasy, Ecchi",Manga
317,Final Fantasy VII: Advent Children,"Action, Fantasy",Game
33743,Fuuka,"Drama, Romance, Ecchi",Manga
7661,Giant Killing,"Drama, Sports",Manga
16918,Gin no Saji (Silver Spoon),Comedy,Manga
19363,Gin no Saji 2nd Season (Silver Spoon 2nd Season),Comedy,Manga
918,Gintama,"Action, Comedy, Sci-Fi",Manga
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Sci-Fi",Manga
9969,Gintama' (Gintama Season 2),"Action, Comedy, Sci-Fi",Manga
15417,Gintama': Enchousen (Gintama: Enchousen),"Action, Comedy, Sci-Fi",Manga
34096,Gintama. (Gintama Season 5),"Action, Comedy, Sci-Fi",Manga
35843,Gintama. Porori-hen (Gintama. Slip Arc),"Action, Comedy, Sci-Fi",Manga
28977,Gintama° (Gintama Season 4),"Action, Comedy, Sci-Fi",Manga
14811,GJ-bu (GJ Club),Comedy,Light novel
21635,GJ-bu@,Comedy,Light novel
17729,Grisaia no Kajitsu (The Fruit of Grisaia),"Drama, Romance, Suspense",Visual novel
29093,Grisaia no Meikyuu: Caprice no Mayu 0,Drama,Visual novel
29095,Grisaia no Rakuen (The Eden of Grisaia),"Drama, Romance, Suspense",Visual novel
13161,Hagure Yuusha no Aesthetica (Aesthetica of a Rogue Hero),"Action, Fantasy, Ecchi",Light novel
15613,Hakkenden: Touhou Hakken Ibun (Hakkenden -Eight Dogs of the East-),"Action, Mystery, Supernatural",Manga
23269,Hello!! Kiniro Mosaic (Hello!! KINMOZA!),Slice of Life,4-koma manga
24703,High School DxD BorN,"Action, Comedy, Romance, Supernatural, Ecchi",Light novel
15451,High School DxD New,"Action, Comedy, Romance, Supernatural, Ecchi",Light novel
55774,"Himesama ""Goumon"" no Jikan desu ('Tis Time for ""Torture,"" Princess)","Comedy, Fantasy, Gourmet",Manga
8768,Hiyokoi,Romance,Manga
54856,Horimiya: Piece (Horimiya: The Missing Pieces),Romance,Manga
10079,Hoshizora e Kakaru Hashi (A Bridge to the Starry Skies),"Comedy, Romance, Ecchi",Visual novel
31338,Hundred,"Action, Romance, Sci-Fi, Ecchi",Light novel
10507,Inazuma Eleven Go,Sports,Game
10999,Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,"Sci-Fi, Sports",Game
17831,Inu to Hasami wa Tsukaiyou (Dog & Scissors),"Comedy, Supernatural",Light novel
22123,Inugami-san to Nekoyama-san,"Comedy, Girls Love",4-koma manga
5781,Isekai no Seikishi Monogatari (Tenchi Muyo! War on Geminar),"Comedy, Fantasy, Ecchi",Original
36220,Itsudatte Bokura no Koi wa 10 cm Datta.,"Drama, Romance",Music
48753,Jahy-sama wa Kujikenai! (The Great Jahy Will Not Be Defeated!),"Comedy, Supernatural",Manga
36906,Jashin-chan Dropkick (Dropkick On My Devil!),"Comedy, Supernatural",Web manga
29785,"Jitsu wa Watashi wa (Actually, I am...)","Comedy, Romance, Supernatural",Manga
28387,Joukamachi no Dandelion (Castle Town Dandelion),Comedy,4-koma manga
27991,K: Return of Kings,Action,Original
41312,Kami-tachi ni Hirowareta Otoko (By the Grace of the Gods),"Fantasy, Slice of Life",Light novel
43969,"Kanojo mo Kanojo (Girlfriend, Girlfriend)","Comedy, Romance",Manga
144,Kanon,"Drama, Romance, Supernatural",Visual novel
2581,Kidou Senshi Gundam 00 (Mobile Suit Gundam 00),"Drama, Sci-Fi",Original
3927,Kidou Senshi Gundam 00 Second Season,"Drama, Sci-Fi",Original
17741,Kimi no Iru Machi (A Town Where You Live),"Drama, Romance",Manga
11313,Kimi no Iru Machi: Tasogare Kousaten,"Drama, Romance",Manga
33082,Kingsglaive: Final Fantasy XV,Action,Game
16732,Kiniro Mosaic (KINMOZA!),Slice of Life,4-koma manga
12175,"Koi to Senkyo to Chocolate (Love, Election and Chocolate)","Drama, Romance",Visual novel
31952,Kono Bijutsu-bu ni wa Mondai ga Aru! (This Art Club Has a Problem!),"Comedy, Romance",Manga
19669,Kuroko no Basket: Baka ja Katenai no yo! (Kuroko's Basketball OVA),Sports,Manga
22125,Kuroko no Basket: Mou Ikkai Yarimasen ka,"Comedy, Sports",Manga
12131,30-sai no Hoken Taiiku Specials,"Comedy, Romance, Ecchi",Book
857,Air Gear,"Sports, Ecchi",Manga
19759,Ansatsu Kyoushitsu: Jump Festa 2013 Special,"Action, Comedy",Manga
53889,Ao no Exorcist: Shimane Illuminati-hen,"Action, Supernatural",Manga
59226,Ao no Exorcist: Yosuga-hen (Blue Exorcist: The Blue Night Saga),"Action, Supernatural",Manga
58516,Ao no Exorcist: Yuki no Hate-hen,"Action, Supernatural",Manga
937,Appleseed,Sci-Fi,Manga
54,Appleseed (Movie),Sci-Fi,Manga
22677,Appleseed Alpha,"Adventure, Sci-Fi",Manga
2969,Appleseed Saga Ex Machina (Appleseed: Ex Machina),Sci-Fi,Manga
10447,Aquarion Evol,"Fantasy, Romance, Sci-Fi",Original
9074,Arakawa Under the Bridge x Bridge,"Comedy, Romance",Manga
28249,Arslan Senki (TV) (The Heroic Legend of Arslan),"Action, Adventure, Drama, Fantasy",Manga
31821,Arslan Senki (TV): Fuujin Ranbu,"Action, Adventure, Drama, Fantasy",Manga
8475,Asura,"Award Winning, Drama",Manga
8516,Baka to Test to Shoukanjuu Ni! (Baka & Test – Summon the Beasts 2),"Comedy, Romance",Light novel
5675,Basquash!,"Sci-Fi, Sports",Original
32379,Berserk (Berserk (2016)),"Action, Adventure, Drama, Fantasy, Horror",Manga
